Race,County,Registered Voters,DEM,REP,LIB,MOUNTAIN,Total
Senate,Barbour,9931,2121,2562,252,,4935
Senate,Berkeley,77653,14508,18111,1416,,34035
Senate,Boone,15239,3894,2710,213,,6817
Senate,Braxton,6168,2148,1887,157,,4192
Senate,Brooke,18474,3987,3513,328,,7828
Senate,Cabell,54924,16909,11267,885,,29061
Senate,Calhoun,5687,967,1065,101,,2133
Senate,Clay,7329,1141,1197,94,,2432
Senate,Doddridge,8565,746,1352,111,,2209
Senate,Fayette,24005,6502,5160,561,,12223
Senate,Gilmer,7316,944,929,126,,1999
Senate,Grant,9159,935,2820,135,,3890
Senate,Greenbrier,16353,6201,5563,448,,12212
Senate,Hampshire,15202,2325,4313,240,,6878
Senate,Hancock,16906,4707,4963,447,,10117
Senate,Hardy,7698,1880,2467,193,,4540
Senate,Harrison,43691,11491,9512,1508,,22511
Senate,Jackson,21237,4890,4964,357,,10211
Senate,Jefferson,40196,10666,9360,756,,20782
Senate,Kanawha,142430,39333,22527,2018,,63878
Senate,Lewis,9841,2326,2879,381,,5586
Senate,Lincoln,13202,2899,2553,188,,5640
Senate,Logan,10183,4574,4708,300,,9582
Senate,Marion,38969,10888,7280,1197,,19365
Senate,Marshall,21131,5485,4868,436,,10789
Senate,Mason,18074,4270,3805,288,,8363
Senate,McDowell,4828,2222,2198,145,,4565
Senate,Mercer,5151,7430,10033,577,,18040
Senate,Mineral,13741,3108,5525,301,,8934
Senate,Mingo,4561,2929,3825,198,,6952
Senate,Monongalia,5938,18010,10918,2019,,30947
Senate,Monroe,8158,2125,2644,163,,4932
Senate,Morgan,7284,2143,3783,278,,6204
Senate,Nicholas,13097,3588,3948,307,,7843
Senate,Ohio,3021,8731,6588,504,,15823
Senate,Pendleton,5092,948,1478,92,,2518
Senate,Pleasants,3883,1157,1266,99,,2522
Senate,Pocahontas,8387,1269,1411,166,,2846
Senate,Preston,16333,3686,5943,736,,10365
Senate,Putnam,40448,10513,10090,716,,21319
Senate,Raleigh,51662,10578,12619,926,,24123
Senate,Randolph,18248,4471,4017,407,,8895
Senate,Ritchie,5968,1082,1961,153,,3196
Senate,Roane,2987,2165,1899,156,,4220
Senate,Summers,2662,2069,1868,150,,4087
Senate,Taylor,4833,2376,2642,272,,5290
Senate,Tucker,4140,1469,1502,161,,3132
Senate,Tyler,6393,1065,1603,135,,2803
Senate,Upshur,2713,3102,4010,422,,7534
Senate,Wayne,2224,6395,5954,355,,12704
Senate,Webster,5210,1033,1120,141,,2294
Senate,Wetzel,2747,2518,2135,293,,4946
Senate,Wirt,995,790,1005,76,,1871
Senate,Wood,994,14189,13696,1141,,29026
Senate,Wyoming,17294,2607,3096,186,,5889
Senate,Total:,928555,290505,271112,24411,,586028
WV-01,Barbour,9931,1453,3425,,,4878
WV-01,Brooke,18474,2298,5360,,,7658
WV-01,Doddridge,8565,456,1747,,,2203
WV-01,Gilmer,7316,595,1355,,,1950
WV-01,Grant,9159,625,3057,,,3682
WV-01,Hancock,16906,2955,6960,,,9915
WV-01,Harrison,43691,8544,13849,,,22393
WV-01,Marion,38969,7922,11005,,,18927
WV-01,Marshall,21131,2830,7825,,,10655
WV-01,Mineral,13741,2287,6580,,,8867
WV-01,Monongalia,5938,17047,14045,,,31092
WV-01,Ohio,3021,4848,10992,,,15840
WV-01,Pleasants,3883,645,1820,,,2465
WV-01,Preston,16333,3232,6912,,,10144
WV-01,Ritchie,5968,564,2596,,,3160
WV-01,Taylor,4833,1758,3523,,,5281
WV-01,Tucker,4140,1045,2057,,,3102
WV-01,Tyler,6393,596,2208,,,2804
WV-01,Wetzel,2747,1481,3343,,,4824
WV-01,Wood,994,9035,19338,,,28373
WV-01,Total:,242133,70216,127997,,,198213
WV-02,Berkeley,77653,11961,20129,,1550,32090
WV-02,Braxton,6168,1749,2218,,133,3967
WV-02,Calhoun,5687,776,1198,,81,1974
WV-02,Clay,7329,952,1371,,73,2323
WV-02,Hampshire,15202,1637,4934,,221,6571
WV-02,Hardy,7698,1424,2864,,144,4288
WV-02,Jackson,21237,3874,5773,,333,9647
WV-02,Jefferson,40196,9528,10307,,978,19835
WV-02,Kanawha,142430,34360,27851,,1170,62211
WV-02,Lewis,9841,1997,3318,,162,5315
WV-02,Morgan,7284,1710,4074,,266,5784
WV-02,Pendleton,5092,784,1629,,46,2413
WV-02,Putnam,40448,8384,12313,,423,20697
WV-02,Randolph,18248,3949,4466,,291,8415
WV-02,Roane,2987,1738,2282,,128,4020
WV-02,Upshur,2713,2616,4606,,208,7222
WV-02,Wirt,995,572,1171,,70,1743
WV-02,Total:,411208,88011,110504,,6277,198515
WV-03,Boone,15239,3357,3272,,,6629
WV-03,Cabell,54924,14104,14813,,,28917
WV-03,Fayette,24005,6103,5968,,,12071
WV-03,Greenbrier,16353,5489,6459,,,11948
WV-03,Lincoln,13202,2590,2952,,,5542
WV-03,Logan,10183,3586,5818,,,9404
WV-03,Mason,18074,3748,4440,,,8188
WV-03,McDowell,4828,2101,2315,,,4416
WV-03,Mercer,5151,6436,11265,,,17701
WV-03,Mingo,4561,2623,4234,,,6857
WV-03,Monroe,8158,1930,2933,,,4863
WV-03,Nicholas,13097,3195,4579,,,7774
WV-03,Pocahontas,8387,1201,1601,,,2802
WV-03,Raleigh,51662,9297,14215,,,23512
WV-03,Summers,2662,1818,2167,,,3985
WV-03,Wayne,2224,5614,6837,,,12451
WV-03,Webster,5210,933,1271,,,2204
WV-03,Wyoming,17294,2213,3504,,,5717
WV-03,Total:,275214,76338,98643,,,174981
